Album,Artist,Release Year,Genre,Desciption,Price,New/Used,Media Condition,Sleeve/Insert Condition,Video Link,Track Listing,Format,Number of Discs,Pressing Year,Pressing Country,Record Label,Stock
Into the Great Unknown,H.E.A.T.,2017,Hard Rock,"If you're at all a fan of melodic hard rock with an 80s flavour (but new!), then HEAT is the band for you.  This album includes current Skid Row frontman Erik Gronwall on vocals.",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=YCFt1UF9nGs,https://en.wikipedia.org/wiki/Into_the_Great_Unknown,"12"" Vinyl",1,2017,EU,EarMusic,1
The Gathering,Testament,1999,Metal,"In my opinion the best Testament album without Alex Scholnick, this record is often seen as a return to form for the band.  They returned to their traditional thrash sound while retaining some death metal elements from their previous release.",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=V0h8sS7Jks0,https://en.wikipedia.org/wiki/The_Gathering_(Testament_album),"12"" Vinyl",1,2018,EU,Nuclear Blast,1
Demonic,Testament,1997,Metal,Testament goes Death Metal!  Chuck Billy perfects his growl.  This is a punishing album - classic Testament elements are here but this is the record where they really chose to embrace the extreme stuff.,$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=28qjQHanIok,https://en.wikipedia.org/wiki/Demonic_(album),"12"" Vinyl",1,2018,EU,Nuclear Blast,1
Stalingrad 2LP Black,Accept,2012,Metal,"Accept continued their fine form from their previous release on this one, the second album featuring their rejuvinated lineup with Mark Tornillo on vocals.  If you love classic Restless and Wild era Accept, you will love this.",$49.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=i-QQYxryAqM,https://en.wikipedia.org/wiki/Stalingrad_(Accept_album),"12"" Vinyl",2,2012,EU,,1
Worship Music 2LP Black,Anthrax,2011,Metal,"One of the biggest comback albums of the century, Worship Music saw Joey Bellodonna return to his rightful place behind the mic for Anthrax.  There is nothing not to love on this one, from all out thrash a la Among the Living, to the epic lengthy 'In the End' in tribute to Dio",$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=nzDmgn-G2FM,https://en.wikipedia.org/wiki/Worship_Music_(album),"12"" Vinyl",2,2015,,,2
Violent Revolution 2LP Black,Kreator,2001,Metal,"After the somewhat patchy Endorama, Germany's kings of thrash returned to their roots on this LP, an all out thrash assault to rival the best of their catalogue",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=4ntwKzpX9Cg,https://en.wikipedia.org/wiki/Violent_Revolution,"12"" Vinyl",2,,,,1
Imaginerium 2LP,Nightwish,2011,Metal,"The bands second album with vocalist Annette Olzen, this is my personal favourite of theirs.  The songs are memorable and feature all the classic elements of the masters of Symphonic Metal that you know and love",$49.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=09MTDBb8qro,https://en.wikipedia.org/wiki/Imaginaerum,"12"" Vinyl",2,,,,1
Once 2LP,Nightwish,2004,Metal,"Possibly the highwater mark for the classic lineup featuring Tarja behind the mic, sadly it was also the last record before here departure.  Her voice sounds stunning and the songwriting is extraordinary.",$49.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=wEERFBI9eCg,https://en.wikipedia.org/wiki/Once_(Nightwish_album),"12"" Vinyl",2,,,,1
Scorched 2LP Gold,Overkill,2023,Metal,The latest effort by New Jerey's mean green killing machine.  They sure have been on a tear in the last decade and this album is no exception.  Get it here on Aztec Gold vinyl.,$69.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=H1Hn0olArRo,https://en.wikipedia.org/wiki/Scorched_(Overkill_album),"12"" Vinyl",2,,,,1
The War to End All Wars,Sabaton,2022,Metal,"Sabaton are one of the biggest names to come out of the power metal world in the last 15-20 years, with their remarkable blend of historical narrative and anthemic metal masterpieces, they continue to headline some of the world's biggest metal festivals.  This one focuses on World War 1, and will have you chanting along in no time.",$49.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=usrFCZpRwGo,https://en.wikipedia.org/wiki/The_War_to_End_All_Wars_(album),"12"" Vinyl",1,,,,1
Savage Amusement LP+CD,Scorpions,1988,Hard Rock,"This is the Scorps embracing the pop metal scene of the late 80s, some really fun, big stuff.",$49.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=vFAf_29KYTs,https://en.wikipedia.org/wiki/Savage_Amusement,"12"" Vinyl",1,,,,1
M-16 2LP Olive Green,Sodom,2001,Metal,"After the obligatory average 90s albums, Sodom were back in the early 2000s to their thrashy best.  In my humble opinion this is one of their best ever releases.  Get it on Olive Green vinyl today.",$49.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=_qHUPQV18Gg,https://en.wikipedia.org/wiki/M-16_(album),"12"" Vinyl",2,,,,1
Servant of the Mind 2LP Blue/Orange,Volbeat,2021,Hard Rock,"One of the most exciting, unique bands of the new generation, Volbeat continue to gain new fans around the world.  Get it in your ear holes!",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=4nB7AfmEy3U,https://en.wikipedia.org/wiki/Servant_of_the_Mind,"12"" Vinyl",2,,,,1
Ride to Nowhere,Inglorious,2019,Hard Rock,"A fantasic British melodic hard rock band, and one of the most exciting new bands out of the motherland in the last 20 years.",$50.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=4gSHmtUj5rQ,"A1. Where Are You Now? A2. Freak Show, A3 Never Alone, A4. Tomorrow, A5. Queen, A6. Liar, B1. Time to Go, B2. I Don't Know You, B3. While She Sleeps, B4. Ride to Nowhere, B5. Glory Days","12"" Vinyl",1,2019,EU,Frontiers,1
Self Titled 2LP (Coloured),Helloween,2021,Metal,The pumpkins are back!  Classic members Michael Kiske and Kai Hansen returned for this epic masterpiece from the forefathers of power metal.,$65.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=P95N5j2i2yw,,"12"" Vinyl",2,2021,EU,Nuclear Blast,1
Ghost Town,Narnia,2023,Metal/Christian,"It's remarkable how many quality metal bands come out of the small nation of Sweden, and Narnia is a fine example of Swedish power metal.  This is their latest, featuring soaring vocals, searing guitars and thought provoking lyrics.",$64.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=Rdbw7hGZUgo,"A1. Rebel, A2. Thief, A3. Hold On, A4. Glory Daze, A5. Descension, B1. Ghost Town, B2. Alive, B3. Modern Day Pharisees, B4. Out of the Silence, B5. Wake Up Call","12"" Vinyl",1,2023,EU,Narnia Songs,1
1971: The Road Starts Hear,Aerosmith,2021,Hard Rock/Classic Rock,"Early versions of Aerosmith classics which would later be re-recorded and released on later albums (most on the debut).  A really interesting look at the bands development, and great they already were in 1971!",$39.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=6hnnwSV8BMU,"A1. Intro - Somebody, A2. Reefer Head Woman, A3. Walkin' the Dog, B1. Movin' Out, B2. Major Barbara, B3. Dream On, B4. Mama Kin","12"" Vinyl",1,,,,1
Bastards Picture Disc,Motorhead,1993,Metal,Classic early 90s Motorhead on a mean looking picture disc!,$34.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=lFbnQQ6t98Q,https://en.wikipedia.org/wiki/Bastards_(Mot%C3%B6rhead_album),"12"" Vinyl",1,,,,1
Bastards,Motorhead,1993,Metal,Classic ealry 90s Motorhead.  Lemmy and the boys were in fine form on this one,$44.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=WlL8jOyhYps,https://en.wikipedia.org/wiki/Bastards_(Mot%C3%B6rhead_album),"12"" Vinyl",1,,,,1
Soldiers of Misfortune (Black),Sacrifice,1990,Metal,"Brilliant Canadian thrash, these guys are seriously underrated, this reissue just came out in May",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=CtWXS3V7JLw,"A1. As The World Burns, A2. Soldiers of Misfortune, A3. In Defiance, A4. Existence Within Eternity, A5. Pawn of Prophecy, B1. Lost Through Time, B2. A Storm In The Silence, B3. Truth (After the Rain)","12"" Vinyl",1,2023,EU,High Roller Records,1
Visual Lies,Lizzy Bordin,1987,Hard Rock,Glam metal but a bit scary.  Get some Lizzy in ya!,$52.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=txLVCYF38Mk,https://en.wikipedia.org/wiki/Visual_Lies,"12"" Vinyl",1,,,,1
Surf Nicaragua,Sacred Reich,1988,Metal,"These guys recently hit our shores and were bloody brilliant, this is their awesome debut EP",$52.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=Rp6HF7mxTlo,https://en.wikipedia.org/wiki/Surf_Nicaragua,"12"" Vinyl",1,,,,1
Shaped By Fire,As I Lay Dying,2019,Metal,"My money is on these guys as the best Metalcore band, this is their crushing comeback album after Tim's release from incarceration.",$52.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=Q0wbyQRRQJA,https://en.wikipedia.org/wiki/Shaped_by_Fire,"12"" Vinyl",1,,,,1
Jomsviking,Amon Amarth,2016,Metal,"The masters of Viking Metal!  Brutal riffs, growls and storytelling",$52.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=qw5G6fF-wqQ,https://en.wikipedia.org/wiki/Jomsviking_(album),"12"" Vinyl",1,,,,1
Tangaroa 2LP,Alien Weaponry,2021,Metal,You all know these guys by now - the sophmore effort by the lads blending Maori culture with metal.  It has been very well received on the world stage.,$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=hcaRzDIg3KM,https://en.wikipedia.org/wiki/Tangaroa_(album),"12"" Vinyl",2,,,,1
Frost & Fire 40th (Green Marbled 2LP),Cirith Ungol,1981,Metal,Debut album by the traditional metal legends reissued on some beautiful coloured vinyl.,$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=6rpVmUKFIwg,https://en.wikipedia.org/wiki/Frost_and_Fire_(album),"12"" Vinyl",2,,,,1
Not the End of the Road (White LP),Kissin Dynamite,2022,Hard Rock,"These guys are a great edgy hard rock band out of Germany, blending 80s sounds with modern sensibilites.  Really cool stuff.",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=86plxyIrSk0,"A1. Not the End of the Road, A2. What Goes Up, A3. Only The Dead, A4. Good Life, A5. Yoko Ono, A6. Coming Home, B1.All For a Hallelujah, B2. No One Dies A Virgin, B3. Gone For Good, B4. Defeat It, B5. Voodoo Spell, B6. Scars","12"" Vinyl",1,2022,EU,Napalm Records,1
Universal (Red/Black Marbled),Michael Schenker Group,2022,Hard Rock,"Latest album by MSG, features everything you know and love about the legendary axeman.  This one features Ronnie Romero fronting the band for a slew of rocking melodic tunes.",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=QKkhDQ1RtjY,"A1. Emergency, A2. Under Attack, A3. Calling Baal, A4. A King Has Gone, A5. The Universe, A6. Long Long Road, B1. Wrecking Ball, B2, Yesterday is Dead, B3. London Calling, B4. Sad is the Song, B5. Au Revoir","12"" Vinyl",1,2022,Germany,Atomic Fire,1
III: Pentecost (Clear Yellow Splatter),Wytch Hazel,2020,Hard Rock/Metal/Christian,"A really interesting newish band out of the UK, combining folk elements with hard rock and metal.  Almost a bit of a stoner rock vibe too at times.  A little bit like Ghost sometimes but if you swapped Satan for Christ.",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=zDbugGsj7xM,"A1. He Is The Fight, A2. Spirit and Fire, A3. I Am Redeemed, A4. Archangel, A5. Dry Bones, B1. Sonata, B2. I Will Not, B3. Reap The Harvest, B4. The Crown, B5. Ancient of Days","12"" Vinyl",1,2020,UK/Europe,Bad Omen Records,1
Turning to Crime 2LP White Vinyl,Deep Purple,2021,Hard Rock/Classic Rock,"This one sees the Purps take on rock n roll classics, rocking them up with their brand of energetic hard rock",$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=ECGft-VgIsg,https://en.wikipedia.org/wiki/Turning_to_Crime,"12"" Vinyl",2,,,,1
Symbol of Salvation Live 2LP Silver,Armored Saint,2021,Metal,"The classic (and some may say best) Armored Saint album performed life, post reunion, on silver vinyl.",$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=eToxQhRRsgY,"A1. Reign of Fire, A2. Dropping Like Flies, A3. Last Train Home, A4. Tribal Dance, B1. The Truth Always Hurts, B2. Half Drawn Bridge, B3. Another Day, B4. Symbol of Salvation, B5. Hanging Judge, C1. Warzone, C2. Burning Question, C3. Tainted Past, C4. Spineless, D1. Nothing Between the Ears (1989 4-Track Demo), D2. Get Lost (1989 4-Track Demo), D3. Medieval Nightmares (1989 4-Track Demo), D4.People (1989 4-Track Demo), D5. Pirates (1989 4-Track Demo)","12"" Vinyl",2,2021,Europe,Metal Blade,1
Synchro Anarchy,Voivod,2022,Metal,Latest album by the Canadian technical thrashers,$56.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=hryt9k8Zql8,https://en.wikipedia.org/wiki/Synchro_Anarchy,"12"" Vinyl",1,,,,1
Empire of the Blind 2LP Black,Heathen,2020,Metal,Underrated Bay Area thrashers - this is their fantastic latest album,$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=TCtZuIG44E0,https://en.wikipedia.org/wiki/Empire_of_the_Blind,"12"" Vinyl",2,,,,1
On The Prowl (Pink Vinyl),Steel Panther,2023,Hard Rock,New album by the hilarious comedic hair metal act - Steel Panher on pink vinyl,$57.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=vM6xASUJbhI,"A1. Never Too Late (To Get Some Pussy Tonight), A2. Friends With Benefits, A3. On Your Instagram, A4. Put My Money Where Your Mouth Is, A5. 1987, A6. Teleporter, B1. Is My Dick Enough, B2. Magical Vagina, B3. All That and More, B4. One Pump Chump, B5. Pornstar, B6. Ain't Dead Yet, B7. Sleeping on the Rollaway","12"" Vinyl",1,2023,USA & Europe,Self Released,1
Deceivers,Arch Enemy,2022,Metal,The latest offering by Arch Enemy.  If you caught them destroying The Powerstation this year you know how good they are,$49.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=1DvDjeRs-_o,https://en.wikipedia.org/wiki/Deceivers_(album),"12"" Vinyl",1,,,,1
Show No Mercy (Purple Vinyl),Bride,1986,Metal/Christian,"The classic debut from Christian hard rock/metallers Bride.  This one is raw, unrelenting speed metal with insane wailing vocals - super cool.",$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=PNwxjmeMXrg,https://en.wikipedia.org/wiki/Show_No_Mercy_(Bride_album),"12"" Vinyl",1,,,,1
I Shall Conquer,Leviticus,1983,Hard Rock/Metal/Christian,The debut album from yet another awesome Swedish heavy metal band.  And look at that artwork!  Cheesy yet great.,$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=U-luo7CKmIU,"A1. I Shall Conquer, A2. Let Me Fight, A3. He's My Life, A4. Doubt, A5. Action More Than Words, B1. All Is Calm, B2. Day By Day, B3. Strive Forwards, B4. Psalm 23","12"" Vinyl",1,2022,US,Girder Records,1
Warriors of the Son (w/ 3 Bonus Tracks),Saint,1985,Hard Rock/Metal/Christian,The debut EP (with bonus tracks) by one of the early Christian Power Metal bands out of the US.,$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=tdUDiOKXqfc,"A1. Plan 2, A2. Legions of the Dead, A3. Abyss, A4. Warriors of the Son, A5. Vicars of Fate, B1. Time's Wasting, B2. Vicars of Fate (Live), B3. Plan 2 (Live), B4. Warriors of the Son (Live)","12"" Vinyl",1,2022,US,Retroactive Records,1
Waiting in Darkness,Sacred Warrior,2013,Hard Rock/Metal/Christian,The latest album to date by Sacred Warrior.  If you dig Maiden and Queensryche you'll probably enjoy this.,$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=rSf4Worg41M,"A1. Desperately Wicked, A2. Waiting in Darkness, A3. Sinking Sand, A4. In Dust and Ashes, A5, Fallen Hero, B1. Fear Me, B2. Long Live The King, B3. Jealous Love, B4. Living Sacrifice, B5. Day of the Lord (2013 Version), B6. Temples On Fire (2013 Version)","12"" Vinyl",1,2021,US,Retroactive Records,1
Hear What I Say,Deliverance,2013,Metal/Christian,"A return to their thrashy roots, Deliverance sound in fine form on this one",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=G5VmACJZSDg,"A1. Liber 111 (Intro), A2. The Annals of Subterfuge, A3. Angst, A4. Hope Lies Beyond, A5. Detox, A6. Entgiftung, B1. Nude, B2. Passing, B3. A Perfect Sky, B4. Where Eagles Dare","12"" Vinyl",1,2019,US,Retroactive Records,1
Lament for the Weary 2LP (Blue Vinyl),Seventh Angel,1992,Metal/Christian,"British technical thrash from the early 90s, remastered on blue vinyl.",$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=MDlkvmDttJM,https://en.wikipedia.org/wiki/Lament_for_the_Weary,"12"" Vinyl",2,2018,US,Retroactive Records,1
Evil and Divine,Sunbomb,2021,Hard Rock/Metal/Christian,The epic collaboration between LA Guns' Tracii Guns and Stryper's Michael Sweet.  Surprisingly heavy with a real metal vibe - a bit Sabbathy in parts.  You don't have to worry about any syrupy 80s ballads on this one.,$44.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=3DswpVLQHBM,"A1. Life, A2. Take Me Away, A3. Better End, A4. No Tomorrows, A5. Born To Win, B1. Evil and Divine, B2. Been Said and Done, B3. Stronger Than Before, B4. Story of the Blind, B5. World Gone Wrong, B6. They Fought","12"" Vinyl",1,2021,Europe,Frontiers,1
MMXXI Live at the Phoenix (Blue Vinyl),Inglorious,2022,Hard Rock,Young british melodic hard rockers tearing up the stage on this live album,$44.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=8GICTqrGYb8,"A1. She Won't Let You Go, A2. Messiah, A3. Breakaway, A4. Where Are You Now?, A5. Read All About It, A6. Barracude, B1. Holy Water, B2. He Will Provide, B3. I Don't Need Your Loving, B4. We Will Ride, B5. Until I Die","12"" Vinyl",1,2022,Europe,Frontiers,1
